Unit Cell length:         7.660
Space Group:       P-1
 
    h       Fobs  sigFobs  Phicalc
    1      8.838    1.885    180.0
    2      9.301    1.924    180.0
    3      7.620    2.448      0.0
    4      3.911    2.673      0.0
    5      5.733    1.210    180.0
    6      1.478    1.063      0.0
    7      1.403    0.635      0.0
    8      0.749    0.427    180.0
    9      0.198    0.319    180.0
   10      0.163    0.270      0.0
