Unit Cell length:         3.833
Space Group:       P1
 
    h       Fobs  sigFobs  Phicalc
    1      1.847    1.330     80.2
    2      2.645    1.365    175.4
    3      2.574    0.644    179.5
    4      0.253    0.180    -67.4
    5      0.062    0.076     -7.3
    6      0.012    0.094     14.3
    7     -0.010    0.089    119.3
    8     -0.007    0.097    175.2
    9      0.002    0.107   -132.0
   10      0.002    0.075    -50.0
